A,Element,Z,Mass,Source
69,Br,35,68.950338413,measured
69,Kr,36,68.96518,estimated
70,Cr,24,69.995191,estimated
70,Mn,25,69.979066,estimated
70,Fe,26,69.960805,estimated
70,Co,27,69.949941,estimated
70,Ni,28,69.936431303,measured
70,Cu,29,69.932392079,measured
70,Zn,30,69.925319181,measured
70,Ga,31,69.926021917,measured
70,Ge,32,69.924248706,measured
70,As,33,69.93092615100001,measured
70,Se,34,69.933515523,measured
70,Br,35,69.944792323,measured
70,Kr,36,69.955877,estimated
71,Mn,25,70.983285,estimated
71,Fe,26,70.966259,estimated
71,Co,27,70.95236692300001,measured
71,Ni,28,70.940518964,measured
71,Cu,29,70.932676832,measured
71,Zn,30,70.92771958,measured
71,Ga,31,70.924702536,measured
71,Ge,32,70.924952284,measured
71,As,33,70.927113758,measured
71,Se,34,70.932209432,measured
71,Br,35,70.93934215600001,measured
71,Kr,36,70.95026569600002,measured
71,Rb,37,70.965582,estimated
72,Mn,25,71.989372,estimated
72,Fe,26,71.969479,estimated
72,Co,27,71.956844,estimated
72,Ni,28,71.941785926,measured
72,Cu,29,71.935820307,measured
72,Zn,30,71.926842807,measured
72,Ga,31,71.926367434,measured
72,Ge,32,71.92207582600001,measured
72,As,33,71.926752295,measured
72,Se,34,71.927140507,measured
72,Br,35,71.93659460699999,measured
72,Kr,36,71.942092407,measured
72,Rb,37,71.958851,estimated
73,Fe,26,72.975416,estimated
73,Co,27,72.95983,estimated
73,Ni,28,72.946206683,measured
73,Cu,29,72.936674378,measured
73,Zn,30,72.92958258200001,measured
73,Ga,31,72.92517468199999,measured
73,Ge,32,72.923458956,measured
73,As,33,72.923829089,measured
73,Se,34,72.926754883,measured
73,Br,35,72.931671621,measured
73,Kr,36,72.93928919499999,measured
73,Rb,37,72.950529,estimated
73,Sr,38,72.9657,estimated
74,Fe,26,73.978969,estimated
74,Co,27,73.964766,estimated
74,Ni,28,73.94798,estimated
74,Cu,29,73.939874862,measured
74,Zn,30,73.929407262,measured
74,Ga,31,73.92694572600001,measured
74,Ge,32,73.921177762,measured
74,As,33,73.923928598,measured
74,Se,34,73.92247593500001,measured
74,Br,35,73.929910281,measured
74,Kr,36,73.933084017,measured
74,Rb,37,73.944265868,measured
74,Sr,38,73.95617,estimated
75,Fe,26,74.985357,estimated
75,Co,27,74.96817,estimated
75,Ni,28,74.952732,estimated
75,Cu,29,74.941522606,measured
75,Zn,30,74.93284024600001,measured
75,Ga,31,74.926500246,measured
75,Ge,32,74.922858371,measured
75,As,33,74.921594562,measured
75,Se,34,74.92252287100001,measured
75,Br,35,74.92581057,measured
75,Kr,36,74.930945746,measured
75,Rb,37,74.93857320100001,measured
75,Sr,38,74.94995277,measured
75,Y,39,74.96584,estimated
76,Co,27,75.973687,estimated
76,Ni,28,75.955308,estimated
